date,death,pm10,tempf,season
1991-09-24,31,-7.8390803,67,Summer
1991-09-25,17,,65,Summer
1991-09-26,23,-17.913794,65,Summer
1991-09-27,18,,55,Summer
1991-09-28,17,-11.635593,55,Summer
1991-09-29,21,,62,Summer
1991-09-30,19,-2.6321838,60,Summer
1991-10-01,26,,67,Autumn
1991-10-02,24,1.3390805,70.5,Autumn
1991-10-03,22,,72,Autumn
1991-10-04,27,-11.409604,72,Autumn
1991-10-05,17,,70.5,Autumn
1991-10-06,19,-17.551723,58.5,Autumn
1991-10-07,24,,50,Autumn
1991-10-08,20,-17.5,51,Autumn
1991-10-09,21,,57.5,Autumn
1991-10-10,30,-.68446326,60.5,Autumn
1991-10-11,25,,56,Autumn
1991-10-12,21,.77011496,53.5,Autumn
1991-10-13,18,,51,Autumn
1991-10-14,18,-17.229885,50,Autumn
1991-10-15,18,,62.5,Autumn
1991-10-16,20,-3.2931035,55,Autumn
1991-10-17,15,,48.5,Autumn
1991-10-18,29,-21.327587,58.5,Autumn
1991-10-19,20,,63.5,Autumn
1991-10-20,23,7.7183909,46.5,Autumn
1991-10-21,18,,44,Autumn
1991-10-22,21,2.8475549,53,Autumn
1991-10-23,21,,60,Autumn
1991-10-24,21,,63.5,Autumn
1991-10-25,13,,61,Autumn
1991-10-26,14,26.597702,60.5,Autumn
1991-10-27,24,,63,Autumn
1991-10-28,21,-6.1506915,60.5,Autumn
1991-10-29,15,,47.5,Autumn
1991-10-30,27,-4,50.5,Autumn
1991-10-31,25,,57.5,Autumn
1991-11-01,16,3.1551723,54,Autumn
1991-11-02,21,,58.5,Autumn
1991-11-03,18,-.88135594,44.5,Autumn
1991-11-04,24,,36,Autumn
1991-11-05,18,-1.7816092,35,Autumn
1991-11-06,21,,36.5,Autumn
1991-11-07,17,17.229885,40.5,Autumn
1991-11-08,30,,41,Autumn
1991-11-09,24,4.2804599,37.5,Autumn
1991-11-10,16,,39.5,Autumn
1991-11-11,26,-21.356321,42,Autumn
1991-11-12,17,,40.5,Autumn
1991-11-13,26,-8.2471266,41.5,Autumn
1991-11-14,23,,46.5,Autumn
1991-11-15,20,33.471611,56.5,Autumn
1991-11-16,28,,56,Autumn
1991-11-17,17,-8.1034479,40.5,Autumn
1991-11-18,18,,39.5,Autumn
1991-11-19,27,7.9022989,50,Autumn
1991-11-20,22,,58.5,Autumn
1991-11-21,27,22.642817,67.5,Autumn
1991-11-22,23,,60,Autumn
1991-11-23,14,-18.178162,57.5,Autumn
1991-11-24,19,,44.5,Autumn
1991-11-25,22,-17.24,32.5,Autumn
1991-11-26,17,,31.5,Autumn
1991-11-27,35,-10.508474,31,Autumn
1991-11-28,17,,43,Autumn
1991-11-29,14,5.9942856,57,Autumn
1991-11-30,23,,57,Autumn
1991-12-01,17,1.2457143,59.5,Autumn
1991-12-02,21,,47.5,Autumn
1991-12-03,10,-18.29381,48.5,Autumn
1991-12-04,21,,34,Autumn
1991-12-05,20,-17.394285,26.5,Autumn
1991-12-06,23,,40.5,Autumn
1991-12-07,27,-4.2897725,38.5,Autumn
1991-12-08,17,,50,Autumn
1991-12-09,27,11.933333,57.5,Autumn
1991-12-10,29,,41.5,Autumn
1991-12-11,19,-13.403409,42.5,Autumn
1991-12-12,20,,41.5,Autumn
1991-12-13,28,27.869318,52.5,Autumn
1991-12-14,26,,49.5,Autumn
1991-12-15,28,-9.4947519,35.5,Autumn
1991-12-16,15,,28.5,Autumn
1991-12-17,20,-7.9204545,35,Autumn
1991-12-18,21,,33,Autumn
1991-12-19,27,-3.0113637,24.5,Autumn
1991-12-20,17,,28,Autumn
1991-12-21,31,14.70339,40.5,Autumn
1991-12-22,22,,38.5,Autumn
1991-12-23,23,-13.723164,34.5,Autumn
1991-12-24,19,,35.5,Autumn
1991-12-25,27,-13.762712,34.5,Autumn
1991-12-26,17,,31,Autumn
1991-12-27,31,1.5833334,36,Autumn
1991-12-28,22,,31.5,Autumn
1991-12-29,22,17.169491,43.5,Autumn
1991-12-30,33,,38.5,Autumn
1991-12-31,23,-16.723164,29.5,Autumn
1992-01-01,18,,30.5,Winter
1992-01-02,29,5.871469,41.5,Winter
1992-01-03,26,,48,Winter
1992-01-04,27,-11.60452,46,Winter
1992-01-05,25,,45,Winter
1992-01-06,23,-23.553673,37.5,Winter
1992-01-07,20,,35,Winter
1992-01-08,21,-7.6119308,38.5,Winter
1992-01-09,28,,39,Winter
1992-01-10,19,6.4350281,43,Winter
1992-01-11,35,,39,Winter
1992-01-12,20,-16.553673,37.5,Winter
1992-01-13,18,,43.5,Winter
1992-01-14,18,20.843502,45.5,Winter
1992-01-15,19,,26.5,Winter
1992-01-16,30,-10.677966,22,Winter
1992-01-17,21,,26.5,Winter
1992-01-18,31,-10.661017,28,Winter
1992-01-19,32,,15.5,Winter
1992-01-20,25,-13.190914,24,Winter
1992-01-21,38,,33.5,Winter
1992-01-22,18,14.610169,32,Winter
1992-01-23,32,,43.5,Winter
1992-01-24,24,-7.1468925,34,Winter
1992-01-25,34,,26,Winter
1992-01-26,18,-17.033487,24.5,Winter
1992-01-27,24,,24.5,Winter
1992-01-28,28,26.921349,35.5,Winter
1992-01-29,36,,35,Winter
1992-01-30,21,,37,Winter
1992-01-31,25,,39.5,Winter
1992-02-01,16,14.981726,33,Winter
1992-02-02,28,,31,Winter
1992-02-03,26,-18.005617,36,Winter
1992-02-04,26,,37,Winter
1992-02-05,18,37.073032,34,Winter
1992-02-06,27,,29,Winter
1992-02-07,27,-4.611773,33.5,Winter
1992-02-08,19,,32,Winter
1992-02-09,24,-7.8820224,25,Winter
1992-02-10,26,,22.5,Winter
1992-02-11,17,-9.9550562,38.5,Winter
1992-02-12,25,,32,Winter
1992-02-13,25,-11.56266,25.5,Winter
1992-02-14,20,,38,Winter
1992-02-15,23,2.1910112,44,Winter
1992-02-16,21,,45.5,Winter
1992-02-17,25,-18.539326,36,Winter
1992-02-18,20,,40.5,Winter
1992-02-19,22,-3.6726584,49,Winter
1992-02-20,19,,41.5,Winter
1992-02-21,14,-11.536313,42,Winter
1992-02-22,21,,42,Winter
1992-02-23,28,6.4078212,46,Winter
1992-02-24,20,,43.5,Winter
1992-02-25,29,-8.1713991,37,Winter
1992-02-26,24,,38.5,Winter
1992-02-27,17,-13.748604,38.5,Winter
1992-02-28,26,,47,Winter
1992-02-29,25,.25139666,40,Winter
1992-03-01,28,,40,Winter
1992-03-02,26,-10.804176,49,Winter
1992-03-03,28,,42,Winter
1992-03-04,21,3.3240223,40,Winter
1992-03-05,26,,47,Winter
1992-03-06,20,25.268156,46.5,Winter
1992-03-07,19,,53,Winter
1992-03-08,20,-7.4527636,56,Winter
1992-03-09,18,,54.5,Winter
1992-03-10,25,5.3687153,53.5,Winter
1992-03-11,18,,40.5,Winter
1992-03-12,27,-13.49162,34,Winter
1992-03-13,17,,29.5,Winter
1992-03-14,24,-11.650726,30.5,Winter
1992-03-15,21,,30.5,Winter
1992-03-16,16,-14.296089,26.5,Winter
1992-03-17,31,,41,Winter
1992-03-18,20,.63687152,41,Winter
1992-03-19,30,,34,Winter
1992-03-20,19,-16.092215,35,Winter
1992-03-21,16,,35,Winter
1992-03-22,19,-9.3407822,32,Winter
1992-03-23,16,,33.5,Winter
1992-03-24,16,-5.3743019,36,Winter
1992-03-25,26,,42,Winter
1992-03-26,27,2.8705723,45,Winter
1992-03-27,21,,46,Winter
1992-03-28,25,-18.290503,42.5,Winter
1992-03-29,13,,43.5,Winter
1992-03-30,15,-21.296089,53,Winter
1992-03-31,27,,49.5,Winter
1992-04-01,24,-5.6281533,46.5,Spring
1992-04-02,20,,36.5,Spring
1992-04-03,17,-1.1061453,36,Spring
1992-04-04,22,,37.5,Spring
1992-04-05,21,-8.1508379,43,Spring
1992-04-06,12,,48,Spring
1992-04-07,15,-9.0215454,56,Spring
1992-04-08,19,,55.5,Spring
1992-04-09,17,10.681564,54,Spring
1992-04-10,15,,57.5,Spring
1992-04-11,12,50.720669,61,Spring
1992-04-12,24,,57,Spring
1992-04-13,23,.20102899,42,Spring
1992-04-14,17,,48,Spring
1992-04-15,16,-5.3240223,48.5,Spring
1992-04-16,23,,48,Spring
1992-04-17,19,8.4692736,65.5,Spring
1992-04-18,22,,52.5,Spring
1992-04-19,22,3.1358106,46.5,Spring
1992-04-20,13,,53,Spring
1992-04-21,21,-4.3854747,61.5,Spring
1992-04-22,18,,66.5,Spring
1992-04-23,25,-7.3407822,61.5,Spring
1992-04-24,18,,67,Spring
1992-04-25,20,6.8032107,56,Spring
1992-04-26,20,,46.5,Spring
1992-04-27,15,-18.172222,49.5,Spring
1992-04-28,25,,52.5,Spring
1992-04-29,20,-3.1500001,52,Spring
1992-04-30,19,,54.5,Spring
1992-05-01,22,.14579777,58.5,Spring
1992-05-02,19,,70.5,Spring
1992-05-03,22,12.761111,70.5,Spring
1992-05-04,18,,56.5,Spring
1992-05-05,15,-2.1436465,53,Spring
1992-05-06,20,,52,Spring
1992-05-07,23,-8.5673447,50,Spring
1992-05-08,25,,51.5,Spring
1992-05-09,23,-15.966851,57,Spring
1992-05-10,14,,61,Spring
1992-05-11,18,-1.8950276,64.5,Spring
1992-05-12,26,,61,Spring
1992-05-13,21,-.65717286,63.5,Spring
1992-05-14,20,,69.5,Spring
1992-05-15,23,11.895027,62,Spring
1992-05-16,25,,58.5,Spring
1992-05-17,20,5.0994477,62,Spring
1992-05-18,11,,68.5,Spring
1992-05-19,8,.64474523,61.5,Spring
1992-05-20,23,,59.5,Spring
1992-05-21,18,-7.0220995,60.5,Spring
1992-05-22,21,,69,Spring
1992-05-23,18,29.110497,73,Spring
1992-05-24,25,,67.5,Spring
1992-05-25,8,12.922839,50.5,Spring
1992-05-26,18,,51,Spring
1992-05-27,20,-16.889503,57.5,Spring
1992-05-28,34,,56.5,Spring
1992-05-29,21,3.1868131,60,Spring
1992-05-30,17,,59,Spring
1992-05-31,16,-11.815031,66.5,Spring
1992-06-01,15,,65,Spring
1992-06-02,15,-11.659341,64.5,Spring
1992-06-03,17,,66,Spring
1992-06-04,20,2.2417583,64.5,Spring
1992-06-05,17,,68,Spring
1992-06-06,21,-12.868965,74,Spring
1992-06-07,19,,75.5,Spring
1992-06-08,17,14.154696,80,Spring
1992-06-09,13,,72,Spring
1992-06-10,11,29.259668,69.5,Spring
1992-06-11,14,,67.5,Spring
1992-06-12,22,1.5355844,69,Spring
1992-06-13,21,,69,Spring
1992-06-14,15,-.41436464,71.5,Spring
1992-06-15,11,,74.5,Spring
1992-06-16,20,-7.4364643,70,Spring
1992-06-17,24,,70.5,Spring
1992-06-18,15,-1.5354452,68.5,Spring
1992-06-19,13,,72.5,Spring
1992-06-20,21,.50276244,69.5,Spring
1992-06-21,18,,62.5,Spring
1992-06-22,24,-6.3149171,59,Spring
1992-06-23,21,,63,Spring
1992-06-24,23,1.4833269,71.5,Spring
1992-06-25,20,,70.5,Spring
1992-06-26,17,9.6187849,73,Spring
1992-06-27,26,,73,Spring
1992-06-28,23,7.6961327,73,Spring
1992-06-29,14,,72,Spring
1992-06-30,22,16.975189,79,Spring
1992-07-01,11,,78.5,Summer
1992-07-02,23,13.707182,73.5,Summer
1992-07-03,23,,69,Summer
1992-07-04,14,-7.1381216,74.5,Summer
1992-07-05,25,,72.5,Summer
1992-07-06,27,6.8357701,75,Summer
1992-07-07,24,,72.5,Summer
1992-07-08,21,-5.2154698,71,Summer
1992-07-09,14,,82.5,Summer
1992-07-10,23,32.745857,84.5,Summer
1992-07-11,16,,82.5,Summer
1992-07-12,18,10.225594,82,Summer
1992-07-13,20,,83,Summer
1992-07-14,26,15.817679,85.5,Summer
1992-07-15,20,,85,Summer
1992-07-16,15,16.03315,78,Summer
1992-07-17,17,,81.5,Summer
1992-07-18,8,13.15577,77.5,Summer
1992-07-19,22,,78,Summer
1992-07-20,19,.95027626,80,Summer
1992-07-21,19,,81.5,Summer
1992-07-22,22,17.939226,73,Summer
1992-07-23,26,,77,Summer
1992-07-24,19,-3.8958452,69.5,Summer
1992-07-25,31,,69.5,Summer
1992-07-26,20,-11.066298,73,Summer
1992-07-27,19,,78.5,Summer
1992-07-28,12,.93370163,73.5,Summer
1992-07-29,21,,75,Summer
1992-07-30,21,24.168795,78,Summer
1992-07-31,19,,79.5,Summer
1992-08-01,25,13.005494,70.5,Summer
1992-08-02,21,,71,Summer
1992-08-03,21,-3.7857144,75.5,Summer
1992-08-04,18,,75.5,Summer
1992-08-05,23,.9920001,69.5,Summer
1992-08-06,16,,69,Summer
1992-08-07,16,5.4120879,70.5,Summer
1992-08-08,21,,70,Summer
1992-08-09,19,5.4340658,80,Summer
1992-08-10,17,,79,Summer
1992-08-11,15,13.088635,81.5,Summer
1992-08-12,21,,74,Summer
1992-08-13,22,2.1208792,68.5,Summer
1992-08-14,17,,69.5,Summer
1992-08-15,17,-8.8131866,64,Summer
1992-08-16,21,,65,Summer
1992-08-17,10,-15.549922,70,Summer
1992-08-18,18,,73.5,Summer
1992-08-19,18,-3.7362638,74.5,Summer
1992-08-20,14,,71,Summer
1992-08-21,22,.33516484,68.5,Summer
1992-08-22,12,,70,Summer
1992-08-23,17,19.870855,72.5,Summer
1992-08-24,27,,72,Summer
1992-08-25,25,13.285714,77,Summer
1992-08-26,16,,81.5,Summer
1992-08-27,28,40.302197,81,Summer
1992-08-28,11,,77,Summer
1992-08-29,22,3.9973912,65,Summer
1992-08-30,18,,66,Summer
1992-08-31,11,-5.6868134,73.5,Summer
1992-09-01,18,,68,Summer
1992-09-02,18,4.164835,68.5,Summer
1992-09-03,25,,74.5,Summer
1992-09-04,25,11.705636,76.5,Summer
1992-09-05,22,,74,Summer
1992-09-06,26,9.2912092,67,Summer
1992-09-07,19,,73,Summer
1992-09-08,22,-12.741758,75,Summer
1992-09-09,18,,76,Summer
1992-09-10,21,3.8867037,77.5,Summer
1992-09-11,19,,70.5,Summer
1992-09-12,10,-9.6868134,64,Summer
1992-09-13,20,,61,Summer
1992-09-14,22,-3.6098902,62,Summer
1992-09-15,19,,64.5,Summer
1992-09-16,15,5.2529926,68.5,Summer
1992-09-17,18,,73,Summer
1992-09-18,17,25.467033,73.5,Summer
1992-09-19,18,,70,Summer
1992-09-20,17,-6.5714288,66,Summer
1992-09-21,23,,69,Summer
1992-09-22,21,-3.7746451,79,Summer
1992-09-23,27,,61.5,Summer
1992-09-24,16,-11.714286,55,Summer
1992-09-25,15,,55.5,Summer
1992-09-26,16,-16.785715,65.5,Summer
1992-09-27,29,,69,Summer
1992-09-28,18,-4.001236,65,Summer
1992-09-29,18,,56.5,Summer
1992-09-30,26,-12.857142,50.5,Summer
1992-10-01,22,,53.5,Autumn
1992-10-02,21,-10.851648,57,Autumn
1992-10-03,16,,63,Autumn
1992-10-04,21,5.9412432,59,Autumn
1992-10-05,13,,55.5,Autumn
1992-10-06,14,-7.7307692,52,Autumn
1992-10-07,15,,51.5,Autumn
1992-10-08,25,14.258242,58.5,Autumn
1992-10-09,23,,65.5,Autumn
1992-10-10,21,-8.6069021,64,Autumn
1992-10-11,20,,60.5,Autumn
1992-10-12,16,-1.2692307,55.5,Autumn
1992-10-13,18,,57,Autumn
1992-10-14,22,4.8076925,58.5,Autumn
1992-10-15,25,,67,Autumn
1992-10-16,21,32.710541,67,Autumn
1992-10-17,17,,47.5,Autumn
1992-10-18,18,-15.093407,46.5,Autumn
1992-10-19,27,,42,Autumn
1992-10-20,13,-12.065934,39.5,Autumn
1992-10-21,23,,55,Autumn
1992-10-22,22,5.134551,48.5,Autumn
1992-10-23,22,,49.5,Autumn
1992-10-24,19,24.983517,54.5,Autumn
1992-10-25,30,,49,Autumn
1992-10-26,23,-20.043957,49.5,Autumn
1992-10-27,14,,53.5,Autumn
1992-10-28,12,-6.6072645,52,Autumn
1992-10-29,19,,51.5,Autumn
1992-10-30,22,26.868132,53.5,Autumn
1992-10-31,19,,48,Autumn
1992-11-01,21,-.1978022,44.5,Autumn
1992-11-02,26,,50,Autumn
1992-11-03,20,-12.337229,60.5,Autumn
1992-11-04,13,,53.5,Autumn
1992-11-05,21,5.9120879,53,Autumn
1992-11-06,22,,43,Autumn
1992-11-07,17,-11.131868,40,Autumn
1992-11-08,18,,39,Autumn
1992-11-09,14,-7.5566788,39,Autumn
1992-11-10,21,,41.5,Autumn
1992-11-11,24,12.626373,47.5,Autumn
1992-11-12,21,,59,Autumn
1992-11-13,21,5.6483517,52,Autumn
1992-11-14,27,,38.5,Autumn
1992-11-15,15,-12.989952,36.5,Autumn
1992-11-16,30,,34,Autumn
1992-11-17,18,-.26923078,45,Autumn
1992-11-18,20,,50,Autumn
1992-11-19,19,31.741758,40,Autumn
1992-11-20,23,,43.5,Autumn
1992-11-21,12,-2.5143259,54,Autumn
1992-11-22,24,,60,Autumn
1992-11-23,19,-21.06044,58.5,Autumn
1992-11-24,12,,51.5,Autumn
1992-11-25,8,-4.0439563,51.5,Autumn
1992-11-26,20,,56,Autumn
1992-11-27,13,-10.475927,48,Autumn
1992-11-28,28,,46.5,Autumn
1992-11-29,18,-9.1758242,41,Autumn
1992-11-30,20,,37.5,Autumn
1992-12-01,20,-2.1923077,38.5,Autumn
1992-12-02,22,,37,Autumn
1992-12-03,17,4.2239513,39,Autumn
1992-12-04,17,,34.5,Autumn
1992-12-05,23,.74725276,36.5,Autumn
1992-12-06,27,,32.5,Autumn
1992-12-07,17,,38.5,Autumn
1992-12-08,17,,36,Autumn
1992-12-09,22,-7.5845952,34,Autumn
1992-12-10,24,,38,Autumn
1992-12-11,17,-14.076923,44.5,Autumn
1992-12-12,25,,41,Autumn
1992-12-13,21,-21.978022,40.5,Autumn
1992-12-14,11,,37.5,Autumn
1992-12-15,21,-3.877686,36.5,Autumn
1992-12-16,20,,40.5,Autumn
1992-12-17,30,4.9835167,50,Autumn
1992-12-18,20,,38.5,Autumn
1992-12-19,20,2.9175825,40,Autumn
1992-12-20,20,,44,Autumn
1992-12-21,22,-11.650732,34,Autumn
1992-12-22,27,,41.5,Autumn
1992-12-23,21,5.7747254,42.5,Autumn
1992-12-24,28,,33,Autumn
1992-12-25,32,-14.208791,27.5,Autumn
1992-12-26,28,,32,Autumn
1992-12-27,11,-13.81133,26,Autumn
1992-12-28,24,,36.5,Autumn
1992-12-29,36,-.17032968,46,Autumn
1992-12-30,16,,53.5,Autumn
1992-12-31,22,5.8131866,61.5,Autumn
1993-01-01,18,,47,Winter
1993-01-02,14,-19.813135,32.5,Winter
1993-01-03,27,,34,Winter
1993-01-04,20,-6.2197804,51.5,Winter
1993-01-05,20,,53.5,Winter
1993-01-06,14,-8.3461542,42.5,Winter
1993-01-07,27,,43,Winter
1993-01-08,23,5.773767,41,Winter
1993-01-09,32,,34.5,Winter
1993-01-10,21,-12.587913,29,Winter
1993-01-11,18,,31.5,Winter
1993-01-12,13,-4.6263738,38,Winter
1993-01-13,34,,44.5,Winter
1993-01-14,20,-15.730091,40.5,Winter
1993-01-15,21,,38,Winter
1993-01-16,14,2.4725275,36.5,Winter
1993-01-17,19,,39,Winter
1993-01-18,24,-2.4340658,35.5,Winter
1993-01-19,19,,31.5,Winter
1993-01-20,26,-8.6502314,32.5,Winter
1993-01-21,22,,31.5,Winter
1993-01-22,29,23.65934,44.5,Winter
1993-01-23,29,,42,Winter
1993-01-24,19,-9.4615383,43.5,Winter
1993-01-25,19,,36,Winter
1993-01-26,20,-16.924488,30.5,Winter
1993-01-27,14,,34,Winter
1993-01-28,13,5.39011,32,Winter
1993-01-29,18,,34.5,Winter
1993-01-30,17,11.510989,33.5,Winter
1993-01-31,18,,45.5,Winter
1993-02-01,20,-13.208022,32.5,Winter
1993-02-02,23,,22.5,Winter
1993-02-03,15,-6.4670329,37,Winter
1993-02-04,18,,40.5,Winter
1993-02-05,15,-5.4780221,41,Winter
1993-02-06,28,,30,Winter
1993-02-07,21,-8.1637201,20,Winter
1993-02-08,18,,34.5,Winter
1993-02-09,18,7.4615383,31.5,Winter
1993-02-10,22,,39.5,Winter
1993-02-11,22,36.543957,39.5,Winter
1993-02-12,27,,34.5,Winter
1993-02-13,24,-18.406301,36.5,Winter
1993-02-14,21,,34,Winter
1993-02-15,24,-15.532967,34,Winter
1993-02-16,26,,39.5,Winter
1993-02-17,24,-10.769231,37.5,Winter
1993-02-18,21,,25,Winter
1993-02-19,27,-13.072322,16.5,Winter
1993-02-20,21,,28,Winter
1993-02-21,21,10.236263,30,Winter
1993-02-22,19,,40,Winter
1993-02-23,26,-2.6923077,31,Winter
1993-02-24,18,,23.5,Winter
1993-02-25,25,-11.627583,22,Winter
1993-02-26,24,,25,Winter
1993-02-27,25,-4.8241758,28.5,Winter
1993-02-28,26,,26,Winter
1993-03-01,23,-6.8066297,33,Winter
1993-03-02,18,,42.5,Winter
1993-03-03,26,16.509871,44,Winter
1993-03-04,29,,37.5,Winter
1993-03-05,29,25.038673,37.5,Winter
1993-03-06,18,,37.5,Winter
1993-03-07,23,-15.834254,41.5,Winter
1993-03-08,19,,43.5,Winter
1993-03-09,26,2.6764457,43.5,Winter
1993-03-10,23,,34.5,Winter
1993-03-11,22,-7.9226518,36,Winter
1993-03-12,28,,34.5,Winter
1993-03-13,17,-6.9166665,30.5,Winter
1993-03-14,24,,21,Winter
1993-03-15,29,-13.53697,21,Winter
1993-03-16,23,,34.5,Winter
1993-03-17,27,-8.9277782,38,Winter
1993-03-18,15,,24,Winter
1993-03-19,31,-15.788889,24.5,Winter
1993-03-20,18,,33.5,Winter
1993-03-21,30,-1.721361,43,Winter
1993-03-22,25,,43,Winter
1993-03-23,27,15.427778,39.5,Winter
1993-03-24,29,,49.5,Winter
1993-03-25,23,-.62777776,45.5,Winter
1993-03-26,26,,46.5,Winter
1993-03-27,35,18.891476,44.5,Winter
1993-03-28,12,,53.5,Winter
1993-03-29,26,-15.777778,52,Winter
1993-03-30,26,,58,Winter
1993-03-31,24,-7.7555556,52.5,Winter
1993-04-01,23,,56.5,Spring
1993-04-02,24,-3.8445175,48,Spring
1993-04-03,19,,44.5,Spring
1993-04-04,20,-16.783333,40.5,Spring
1993-04-05,17,,40.5,Spring
1993-04-06,24,-11.705556,47,Spring
1993-04-07,16,,48,Spring
1993-04-08,20,-4.1194444,48.5,Spring
1993-04-09,24,,50,Spring
1993-04-10,12,-4.8000002,53,Spring
1993-04-11,18,,52.5,Spring
1993-04-12,22,-16.727777,49.5,Spring
1993-04-13,23,,53,Spring
1993-04-14,16,-10.53592,51.5,Spring
1993-04-15,20,,62,Spring
1993-04-16,21,7.4000001,61,Spring
1993-04-17,21,,51,Spring
1993-04-18,21,-18.483334,50.5,Spring
1993-04-19,22,,59.5,Spring
1993-04-20,26,-.14445442,65.5,Spring
1993-04-21,17,,58.5,Spring
1993-04-22,19,-9.5500002,44.5,Spring
1993-04-23,16,,53,Spring
1993-04-24,18,-7.4833331,51,Spring
1993-04-25,28,,65,Spring
1993-04-26,22,9.1976109,57.5,Spring
1993-04-27,26,,50,Spring
1993-04-28,18,-12.45,50,Spring
1993-04-29,16,,54.5,Spring
1993-04-30,18,10.538889,58,Spring
1993-05-01,19,,63,Spring
1993-05-02,20,15.405128,66,Spring
1993-05-03,21,,63.5,Spring
1993-05-04,17,3.8055556,64,Spring
1993-05-05,17,,69,Spring
1993-05-06,21,-9.2888889,68,Spring
1993-05-07,17,,67.5,Spring
1993-05-08,16,1.9068989,63,Spring
1993-05-09,19,,66.5,Spring
1993-05-10,17,-4.2222223,70.5,Spring
1993-05-11,17,,74,Spring
1993-05-12,22,33.583332,73,Spring
1993-05-13,13,,63.5,Spring
1993-05-14,21,-3.8243852,61,Spring
1993-05-15,16,,65,Spring
1993-05-16,17,6.5388889,70.5,Spring
1993-05-17,12,,63,Spring
1993-05-18,18,-1.4777777,57.5,Spring
1993-05-19,19,.06666667,58.5,Spring
1993-05-20,24,.19419551,57.5,Spring
1993-05-21,24,,54.5,Spring
1993-05-22,15,-6.227778,57.5,Spring
1993-05-23,17,,58.5,Spring
1993-05-24,19,-4.1777778,69.5,Spring
1993-05-25,22,,73.5,Spring
1993-05-26,24,16.189886,64.5,Spring
1993-05-27,18,,65.5,Spring
1993-05-28,18,11.527778,74.5,Spring
1993-05-29,15,,65.5,Spring
1993-05-30,28,1.5055555,61,Spring
1993-05-31,17,,65.5,Spring
1993-06-01,25,-7.7899103,63,Spring
1993-06-02,19,,58,Spring
1993-06-03,24,-2.4944444,64.5,Spring
1993-06-04,22,,64.5,Spring
1993-06-05,15,6.3555555,65,Spring
1993-06-06,22,,64,Spring
1993-06-07,21,-11.4079,66,Spring
1993-06-08,21,,70.5,Spring
1993-06-09,26,7.5248618,79,Spring
1993-06-10,16,,78,Spring
1993-06-11,22,6.3867402,76,Spring
1993-06-12,20,,68,Spring
1993-06-13,17,-11.181184,67.5,Spring
1993-06-14,16,,65,Spring
1993-06-15,15,-6.6740332,71.5,Spring
1993-06-16,18,,73.5,Spring
1993-06-17,15,7.3646407,72,Spring
1993-06-18,15,,79.5,Spring
1993-06-19,13,41.722141,82.5,Spring
1993-06-20,29,,80,Spring
1993-06-21,21,15.524862,76.5,Spring
1993-06-22,15,,77,Spring
1993-06-23,16,6.5524864,72,Spring
1993-06-24,19,,69.5,Spring
1993-06-25,22,-2.3384948,73,Spring
1993-06-26,17,,76,Spring
1993-06-27,21,4.5690608,78.5,Spring
1993-06-28,22,,80,Spring
1993-06-29,21,7.5248618,78.5,Spring
1993-06-30,25,,80,Spring
1993-07-01,16,15.7134,73,Summer
1993-07-02,28,,71.5,Summer
1993-07-03,26,-.51381218,81,Summer
1993-07-04,21,,81.5,Summer
1993-07-05,16,14.40884,84,Summer
1993-07-06,22,,83.5,Summer
1993-07-07,25,32.567295,85.5,Summer
1993-07-08,22,,87,Summer
1993-07-09,25,38.497238,86,Summer
1993-07-10,46,,88.5,Summer
1993-07-11,41,34.602211,86,Summer
1993-07-12,28,,83.5,Summer
1993-07-13,24,17.456247,84,Summer
1993-07-14,32,,83.5,Summer
1993-07-15,27,19.519337,81,Summer
1993-07-16,22,,76.5,Summer
1993-07-17,22,-4.6077347,74,Summer
1993-07-18,19,,75,Summer
1993-07-19,15,-4.1133351,78,Summer
1993-07-20,20,,82,Summer
1993-07-21,21,11.574586,75.5,Summer
1993-07-22,17,,75.5,Summer
1993-07-23,22,-8.4751377,73,Summer
1993-07-24,15,,74,Summer
1993-07-25,17,16.291561,80,Summer
1993-07-26,17,,77.5,Summer
1993-07-27,23,2.5856354,83.5,Summer
1993-07-28,27,,83.5,Summer
1993-07-29,22,15.558011,81.5,Summer
1993-07-30,24,,76,Summer
1993-07-31,14,-1.3595912,73,Summer
1993-08-01,27,,76.5,Summer
1993-08-02,15,-4.2154698,80.5,Summer
1993-08-03,20,,80.5,Summer
1993-08-04,26,10.701657,78,Summer
1993-08-05,17,,71.5,Summer
1993-08-06,20,.78699249,67,Summer
1993-08-07,23,,72,Summer
1993-08-08,30,2.3922651,72,Summer
1993-08-09,23,,73,Summer
1993-08-10,15,19.338888,73,Summer
1993-08-11,14,,74,Summer
1993-08-12,20,-2.3580432,72.5,Summer
1993-08-13,19,,77,Summer
1993-08-14,28,9.6222219,78.5,Summer
1993-08-15,20,,79.5,Summer
1993-08-16,17,-1.4388889,78.5,Summer
1993-08-17,19,,77.5,Summer
1993-08-18,23,26.57193,76.5,Summer
1993-08-19,25,,74,Summer
1993-08-20,28,-.75,78,Summer
1993-08-21,16,,75,Summer
1993-08-22,15,-4.0555553,70.5,Summer
1993-08-23,19,,71.5,Summer
1993-08-24,15,3.8701386,77.5,Summer
1993-08-25,22,,81,Summer
1993-08-26,23,32.933334,82,Summer
1993-08-27,20,,81.5,Summer
1993-08-28,17,43.922222,85,Summer
1993-08-29,27,,82,Summer
1993-08-30,16,-3.7915616,80,Summer
